Word,Gloss,Phone,Environment,Stress,Tone,Duration (s),f0A,f0B,f0C,F1A,F1B,F1C,F2A,F2B,F2C,F3A,F3B,F3C
doŋ maʔ,animal,o,d_ŋ,NaN,53,0.04116,116.4,111.1,111,460.8,400.5,436.7,943.2,870.8,762.3,3090,3210,3174
doŋ maʔ,animal,a,m_ʔ,NaN,11,0.1095,96.21,96.55,97.38,726.1,774.3,557.3,1088,1293,1558,2487,2607,2692
y,fish,y,#_#,NaN,13,0.2502,94.72,95.94,109.7,231.6,255.8,255,2125,1944,1896,2402,2427,2330
t͡ɕœ,bird,œ,t͡ɕ_#,NaN,24,0.2279,97.66,94.38,112.8,400.5,484.9,557.3,1619,1353,1172,2523,2704,2993
gau,dog,au,g_#,NaN,15,0.2599,91.87,93.93,131.3,810.5,653.7,400.5,1389,931.1,714,2607,2583,2716
sa,louse,a,s_#,NaN,55,0.1203,128.7,117.6,119.4,593.4,858.8,774.3,1245,1221,1184,2837,2830,2921
se,snake,e,s_#,NaN,31,0.1633,104.8,93.97,83.57,388.4,436.7,448.7,1895,1944,1956,2547,2583,2692
jau jan,worm,au,j_j,NaN,31,0.07652,109.1,109,103.8,581.4,545.2,400.5,1100,1088,1003,2776,2740,2680
jau jan,worm,a,j_n,NaN,11,0.06876,87.13,85.51,85.39,967.73,798.5,653.7,1570,1438,1317,3066,3090,3078
sy,tree,y,s_p,NaN,32,0.1072,109.8,99.57,96.43,304,291.9,267.8,1679,1775,1775,2849,2571,2234
sam la,forest,a,s_m,NaN,55,0.07813,125.6,127.8,128.1,521.1,581.4,774.3,1233,1160,1196,3005,2993,3054
